43924,57531
43917,57542
43927,57525
43923,57545
43928,57530
43918,57547
43931,57548
43914,57553
43932,57548
43929,57553
43925,57565
43948,57560
43938,57546
43933,57558
43937,57543
43900,57518
43921,57518
43911,57509
43901,57498
43903,57484
43901,57461
43903,57458
43899,57445
43903,57459
43885,57453
43907,57454
43896,57444
43893,57462
43904,57453
43904,57444
43908,57456
43904,57456
43901,57476
43910,57439
43895,57454
43891,57437
43898,57438
43892,57429
43894,57436
43886,57439
43880,57416
43890,57423
43895,57418
43874,57420
43881,57407
43885,57420
43899,57406
43891,57431
43890,57421
43903,57426
43882,57427
43885,57437
43886,57419
43901,57436
43885,57428
43895,57427
43886,57427
43887,57423
43885,57416
43896,57429
43899,57417
43894,57416
43886,57418
43890,57427
43884,57428
43894,57417
43890,57428
43888,57420
43888,57427
43893,57422
43899,57435
43903,57423
43903,57437
43899,57423
43900,57442
43902,57435
43894,57439
43898,57441
43893,57434
43915,57428
43905,57440
43894,57430
43908,57431
43899,57447
43897,57447
43914,57440
43910,57439
43892,57436
43907,57460
43893,57452
43904,57449
43909,57466
43896,57456
43908,57459
43905,57453
43908,57440
43894,57465
43923,57462
43896,57450
43903,57460
43899,57475
43907,57472
43895,57468
43920,57460
43900,57485
43892,57489
43918,57477
43911,57481
43918,57484
43911,57478
43925,57490
43901,57486
43905,57483
43915,57493
43919,57496
43903,57494
43906,57507
43915,57505
43910,57505
43911,57505
43931,57515
43923,57519
43924,57512
43916,57508
43934,57506
43925,57525
43936,57518
43911,57536
43921,57522
43929,57524
43929,57534
43923,57532
43939,57530
43920,57539
43929,57527
43938,57540
43921,57574
43920,57558
43930,57555
43937,57551
43938,57567
43929,57568
43928,57562
43945,57565
43937,57583
43945,57568
43935,57574
43941,57588
43941,57589
43940,57592
43940,57589
43918,57604
43948,57578
43958,57581
43941,57608
43934,57579
43939,57481
43922,57478
43923,57511
43911,57477
43902,57487
43918,57478
43915,57495
43919,57466
43929,57486
43921,57502
43930,57499
43945,57484
43884,57491
43888,57484
43935,57500
43914,57493
43907,57488
43913,57499
43912,57474
43924,57484
43919,57482
43914,57465
43915,57461
43914,57463
43907,57476
43918,57461
43917,57477
43912,57475
43903,57481
43938,57466
43905,57476
43925,57463
43909,57472
43930,57480
43914,57478
43925,57474
43928,57472
43933,57474
43920,57482
43921,57477
43911,57471
43936,57482
43941,57482
43918,57484
43926,57479
43923,57477
43903,57469
43923,57476
43938,57487
43933,57482
43921,57480
43921,57486
43944,57483
43924,57477
43916,57505
43923,57493
43931,57504
43922,57507
43924,57503
43924,57503
43931,57502
43949,57493
43948,57503
43941,57513
43935,57512
43927,57502
43930,57514
43947,57499
43947,57527
43938,57499
43943,57503
43932,57517
43944,57520
43937,57510
43928,57514
43946,57534
43944,57529
43950,57526
43943,57550
43944,57537
43961,57520
43954,57523
43962,57538
43955,57536
43954,57542
43946,57543
43959,57552
43947,57551
43942,57547
43964,57559
43961,57541
43949,57566
43959,57552
43946,57563
43946,57573
43947,57572
43953,57574
43956,57578
43975,57578
43957,57578
43939,57581
43960,57589
