,ACC
0,0.36041259765625
1,0.36309814453125
2,0.3614501953125
3,0.36016845703125
4,0.36065673828125
5,0.3604736328125
6,0.3551025390625
7,0.3587646484375
8,0.35760498046875
9,0.35797119140625
10,0.35760498046875
11,0.3558349609375
12,0.35595703125
13,0.35650634765625
14,0.357421875
15,0.3560791015625
16,0.35626220703125
17,0.35540771484375
18,0.3565673828125
19,0.3553466796875
20,0.35650634765625
21,0.353759765625
22,0.3575439453125
23,0.3541259765625
24,0.35595703125
25,0.35650634765625
26,0.35296630859375
27,0.35626220703125
28,0.35711669921875
29,0.35638427734375
30,0.35595703125
31,0.35491943359375
32,0.35736083984375
33,0.35699462890625
34,0.357666015625
35,0.3592529296875
36,0.3594970703125
37,0.357177734375
38,0.36053466796875
39,0.3582763671875
40,0.360107421875
41,0.36065673828125
42,0.36444091796875
43,0.36029052734375
44,0.36370849609375
45,0.365966796875
46,0.36309814453125
47,0.36370849609375
48,0.3641357421875
49,0.36248779296875
50,0.36419677734375
51,0.36322021484375
52,0.3636474609375
53,0.36419677734375
54,0.36346435546875
55,0.36212158203125
56,0.3621826171875
57,0.36309814453125
58,0.36505126953125
59,0.3616943359375
60,0.364990234375
61,0.365234375
62,0.364013671875
63,0.35980224609375
64,0.36334228515625
65,0.364501953125
66,0.35906982421875
67,0.3607177734375
68,0.3614501953125
69,0.3597412109375
70,0.3583984375
71,0.35760498046875
72,0.35888671875
73,0.3575439453125
74,0.35760498046875
75,0.35797119140625
76,0.3580322265625
77,0.35858154296875
78,0.356201171875
79,0.35687255859375
80,0.35748291015625
81,0.35595703125
82,0.3590087890625
83,0.35467529296875
84,0.35760498046875
85,0.360107421875
86,0.3533935546875
87,0.35498046875
88,0.35614013671875
89,0.35565185546875
90,0.35650634765625
91,0.3548583984375
92,0.35565185546875
93,0.357421875
94,0.35821533203125
95,0.35675048828125
96,0.35821533203125
97,0.35784912109375
98,0.357666015625
99,0.3565673828125
100,0.358642578125
101,0.361083984375
102,0.35638427734375
103,0.3594970703125
104,0.36224365234375
105,0.35693359375
106,0.36053466796875
107,0.3609619140625
108,0.3612060546875
109,0.36260986328125
110,0.36285400390625
111,0.362548828125
112,0.3621826171875
113,0.36517333984375
114,0.36358642578125
115,0.3629150390625
116,0.36151123046875
117,0.3643798828125
118,0.3663330078125
119,0.36676025390625
120,0.363525390625
121,0.3642578125
122,0.3641357421875
123,0.36273193359375
124,0.3656005859375
125,0.36566162109375
126,0.3665771484375
127,0.3660888671875
128,0.3626708984375
129,0.36376953125
130,0.364990234375
131,0.3642578125
132,0.363525390625
133,0.3624267578125
134,0.36053466796875
135,0.36126708984375
136,0.36260986328125
137,0.361572265625
138,0.35870361328125
139,0.35931396484375
140,0.36065673828125
141,0.35418701171875
142,0.3580322265625
143,0.3577880859375
144,0.3572998046875
145,0.358642578125
146,0.35614013671875
147,0.35711669921875
148,0.357666015625
149,0.35675048828125
150,0.35546875
151,0.35711669921875
152,0.35540771484375
153,0.35614013671875
154,0.3548583984375
155,0.35723876953125
156,0.35516357421875
157,0.35455322265625
158,0.3564453125
159,0.3538818359375
160,0.3565673828125
161,0.35595703125
162,0.35498046875
163,0.3544921875
164,0.35498046875
165,0.356689453125
166,0.35693359375
167,0.357177734375
168,0.357421875
169,0.35601806640625
170,0.357421875
171,0.35821533203125
172,0.35821533203125
173,0.35845947265625
174,0.35821533203125
