,PPG
639,30680
640,30672
641,30680
642,30704
643,30696
644,30720
645,30720
646,30728
647,30704
648,30712
649,30712
650,30728
651,30736
652,30728
653,30712
654,30696
655,30688
656,30704
657,30720
658,30728
659,30736
660,30752
661,30736
662,30752
663,30752
664,30752
665,30784
666,30768
667,30768
668,30808
669,30816
670,30840
671,30840
672,30808
673,30840
674,30864
675,30848
676,30848
677,30816
678,30776
679,30664
680,30560
681,30448
682,30416
683,30344
684,30352
685,30320
686,30304
687,30328
688,30336
689,30392
690,30432
691,30440
692,30456
693,30488
694,30496
695,30512
696,30528
697,30536
698,30560
699,30600
700,30632
701,30640
702,30624
703,30648
704,30624
705,30608
706,30592
707,30576
708,30496
709,30480
710,30464
711,30488
712,30504
713,30488
714,30480
715,30496
716,30520
717,30520
718,30544
719,30576
720,30576
721,30600
722,30608
723,30624
724,30624
725,30648
726,30632
727,30640
728,30656
729,30672
730,30680
731,30680
732,30688
733,30664
734,30712
735,30688
736,30688
737,30688
738,30688
739,30696
740,30712
741,30688
742,30704
743,30672
744,30680
745,30696
746,30704
747,30680
748,30696
749,30712
750,30720
751,30728
752,30720
753,30728
754,30752
755,30768
756,30768
757,30776
758,30768
759,30776
760,30800
761,30776
762,30728
763,30632
764,30576
765,30464
766,30376
767,30344
768,30304
769,30256
770,30272
771,30272
772,30288
773,30288
774,30320
775,30360
776,30352
777,30376
778,30368
779,30392
780,30424
781,30448
782,30488
783,30496
784,30504
785,30520
786,30512
787,30536
788,30504
789,30496
790,30488
791,30480
792,30448
793,30440
794,30432
795,30416
796,30384
797,30424
798,30416
799,30376
800,30408
801,30408
802,30416
803,30456
804,30456
805,30456
806,30512
807,30512
808,30552
809,30544
810,30544
811,30584
812,30576
813,30592
814,30584
815,30576
816,30584
817,30576
818,30600
819,30576
820,30592
821,30608
822,30592
823,30584
824,30616
825,30616
826,30624
827,30600
828,30584
829,30616
830,30624
831,30592
832,30608
833,30648
834,30640
835,30632
836,30648
837,30648
838,30656
839,30680
840,30640
841,30664
842,30672
843,30704
844,30712
845,30728
846,30720
847,30720
848,30752
849,30760
850,30720
851,30632
852,30568
853,30488
854,30368
855,30296
856,30248
857,30168
858,30176
859,30152
860,30128
861,30144
862,30144
863,30152
864,30192
865,30216
866,30208
867,30240
868,30264
869,30272
870,30296
